Year,Conversion
1970, 7.67 
1971, 7.35 
1972, 7.12 
1973, 6.71 
1974, 6.04 
1975, 5.53 
1976, 5.23 
1977, 4.91 
1978, 4.57 
1979, 4.10 
1980, 3.61 
1981, 3.28 
1982, 3.09 
1983, 2.99 
1984, 2.87 
1985, 2.77 
1986, 2.72 
1987, 2.62 
1988, 2.52 
1989, 2.40 
1990, 2.28 
1991, 2.19 
1992, 2.12 
1993, 2.06 
1994, 2.01 
1995, 1.95 
1996, 1.90 
1997, 1.85 
1998, 1.83 
1999, 1.79 
2000, 1.73 
2001, 1.68 
2002, 1.65 
2003, 1.62 
2004, 1.58 
2005, 1.52 
2006, 1.48 
2007, 1.44 
2008, 1.38 
2009, 1.39 
2010, 1.37 
2011, 1.32 
2012, 1.30 
2013, 1.28 
2014, 1.26 
2015, 1.26 
2016, 1.24 
2017, 1.21 
2018, 1.19 
2019, 1.16 
2020, 1.15 
2021, 1.10 
2022, 1.00 
